run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
2,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.52156,0.48617,0.56453,0.52038,0.54516,0.55922,0.01724,0.03884,0.51512,0.52799,0.42754,0.40567,0.44726,0.42588,0.44652,0.44706,0.00992,0.02119,0.42384,0.43124,1.221890,0.000000,3715752,5879704,17.20,32.40,0.000000,0.000026,2083,2070,93,1392,90,8037461,1.937977e+06,5.160020e-07,0.631962,0,44,44,30,1
2,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.68987,0.50387,0.83083,0.70215,0.79693,0.82263,0.08045,0.12048,0.65984,0.71991,0.53553,0.39209,0.61885,0.54731,0.60677,0.61766,0.06010,0.07035,0.51309,0.55797,1.282908,0.033333,3715752,4704760,17.20,32.40,0.000000,0.000026,2083,2070,93,1392,90,8037461,2.563400e+06,3.901069e-07,0.789786,0,44,44,30,1
2,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1300,2000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,0.47287,0.42192,0.54637,0.47165,0.53607,0.54431,0.03991,0.07266,0.44433,0.50142,0.32662,0.30648,0.35867,0.32543,0.35034,0.35701,0.01530,0.03158,0.31567,0.33757,1.449305,0.000000,3725712,4697104,22.59,34.70,0.000000,0.000027,705,480,75,461,0,4534463,1.761792e+06,5.676040e-07,0.793193,0,44,44,10,1
3,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.52743,0.49533,0.56811,0.52972,0.55168,0.56345,0.01760,0.03373,0.52086,0.53400,0.43319,0.41441,0.47021,0.43267,0.45488,0.46704,0.01342,0.03437,0.42818,0.43820,1.224311,0.000000,3722712,5879288,17.40,32.33,0.000000,0.000026,2082,2070,72,1402,90,8495878,1.963478e+06,5.093003e-07,0.633191,0,45,45,30,1
3,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.70853,0.47255,0.77326,0.71886,0.76694,0.77212,0.06564,0.05325,0.68402,0.73304,0.55753,0.39066,0.63146,0.56451,0.60662,0.62591,0.04116,0.06140,0.54216,0.57290,1.273429,0.033333,3722712,4703704,17.40,32.33,0.000000,0.000026,2082,2070,72,1402,90,8495878,2.637659e+06,3.791241e-07,0.791443,0,45,45,30,1
3,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1300,2000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,0.41021,0.33505,0.56272,0.38469,0.53607,0.55739,0.06992,0.17270,0.36019,0.46022,0.30917,0.25430,0.45246,0.29291,0.40362,0.44269,0.06446,0.14978,0.26306,0.35528,1.313311,0.100000,3727680,4696400,22.62,34.90,0.000000,0.000028,703,480,107,460,0,4651464,1.529115e+06,6.539732e-07,0.793731,0,45,45,10,1
4,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.52384,0.48901,0.58660,0.52004,0.55250,0.57815,0.01939,0.05811,0.51661,0.53108,0.43598,0.40734,0.45854,0.43605,0.45472,0.45761,0.01223,0.02156,0.43141,0.44055,1.192631,0.000000,3732248,5870688,17.10,31.90,0.000000,0.000026,2086,2070,94,1402,90,8074175,1.955116e+06,5.114786e-07,0.635743,0,46,46,30,1
4,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.60335,0.49947,0.75073,0.55641,0.73497,0.74663,0.09093,0.19022,0.56940,0.63730,0.48119,0.40283,0.58163,0.44817,0.57808,0.58090,0.06510,0.13273,0.45688,0.50549,1.241515,0.033333,3732248,4695536,17.10,31.90,0.000000,0.000026,2086,2070,94,1402,90,8074175,2.251866e+06,4.440761e-07,0.794850,0,46,46,30,1
4,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1300,2000,0.139407,0.268887,0.560038,0.304008,0.153014,0.546747,4,0.969262,0.056850,24,0.40625,0.33358,0.57787,0.38411,0.53786,0.56987,0.07700,0.18577,0.35117,0.46133,0.27595,0.24166,0.34561,0.26107,0.33382,0.34325,0.03466,0.08218,0.25115,0.30074,1.471261,0.000000,3726688,4695024,22.78,35.50,0.000000,0.000027,705,480,84,465,0,4579816,1.513969e+06,6.605154e-07,0.793753,0,46,46,10,1
5,False,INSERT,hotspot,50000,2000000,0,256-32-4-0.50,256,32,4,0.500000,1200,1400,0.131035,0.290873,0.532200,0.352281,0.141905,0.340356,5,0.750369,0.037868,20,0.52823,0.49013,0.57142,0.53011,0.56258,0.56923,0.02072,0.03912,0.52049,0.53597,0.43216,0.41440,0.45972,0.43294,0.44790,0.45636,0.01124,0.02342,0.42797,0.43636,1.224444,0.000000,3715144,5867104,17.29,32.23,0.000000,0.000026,2081,2070,74,1406,90,8286107,1.962453e+06,5.095664e-07,0.633216,0,47,47,30,1
