section,pattern,n,nops,mean_ratio,median_ratio,p95_ratio,p99_ratio,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p,mean_win_rate,median_win_rate,mean_mem_ratio,median_mem_ratio
BUILD,sorted,1000000,1000000,0.46577326320337525,0.4632595,0.4807,0.4807,0.4591994737238914,0.4723470526828591,0.001953125,0.001953125,1.0,1.0,0.7780944,0.7780555
BUILD,sorted,100000,100000,0.46561612517880413,0.4582695,0.4918,0.4918,0.456457491992758,0.4747747583648503,0.001953125,0.001953125,1.0,1.0,0.7785158,0.77817
BUILD,sorted,10000,10000,0.44643401654888526,0.434283,0.4899,0.4899,0.43627492377197086,0.45659310932579966,0.001953125,0.001953125,1.0,1.0,0.7800065,0.780262
BUILD,sorted,250000,250000,0.4675572946280708,0.4648085,0.4750,0.4750,0.4622986894385416,0.47281589981759997,0.001953125,0.001953125,1.0,1.0,0.7784027,0.778303
BUILD,sorted,500000,500000,0.4508527892965562,0.440961,0.4627,0.4627,0.4412313728980991,0.4604742056950133,0.001953125,0.001953125,1.0,1.0,0.7782315,0.7781305000000001
BUILD,sorted,50000,50000,0.4579525562501128,0.451222,0.4896,0.4896,0.45022952038308267,0.4656755921171429,0.001953125,0.001953125,1.0,1.0,0.7783679,0.7786025000000001
BUILD,sorted,750000,750000,0.4677044116305761,0.4666265,0.4747,0.4747,0.46356512431497016,0.471843698946182,0.001953125,0.001953125,1.0,1.0,0.7787723,0.778742
DELETE,adversarial,100000,28571,1.166922602234021,1.171242,1.1287,1.1287,1.1562845183379902,1.1775606861300516,0.001953125,0.001953125,0.026666600000000002,0.033333,0.7625347,0.7623445
DELETE,adversarial,1000000,285714,1.334669309674778,1.3352015000000002,1.3066,1.3066,1.3246056340956844,1.3447329852538714,0.001953125,0.001953125,0.0,0.0,0.7602347,0.760178
DELETE,adversarial,250000,71428,1.2940159652304968,1.2938375,1.3139,1.3139,1.281698677094937,1.3063332533660565,0.001953125,0.001953125,0.0033333,0.0,0.7705958,0.770389
DELETE,adversarial,500000,142857,1.3206634874305678,1.3222260000000001,1.3389,1.3389,1.311133251201905,1.3301937236592307,0.001953125,0.001953125,0.0,0.0,0.7584815,0.7584265
DELETE,adversarial,50000,14285,1.2248346910090477,1.2187125,1.2126,1.2126,1.2146245946262604,1.235044787391835,0.001953125,0.001953125,0.0033333,0.0,0.7629216,0.76335
DELETE,hotspot,100000,28571,1.0167076445346641,1.015971,1.0094,1.0094,0.9880515111482562,1.045363777921072,0.375,1.0,0.4766667,0.48333349999999997,0.7935532,0.7935105
